                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4963,                 3.0071,                 1.4219,                0.27568,                0.18317,                 0.1487,                  0.078,                  2.043,                  3.822,                 2.4381,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.4113,                 2.1503,                  1.395,                0.33413,                0.24613,                0.22612,                0.12537,                 2.1459,                  3.366,                 2.6172,              0.0010695,              0.0010695,              0.0010695
                      3,                 1.4146,                 1.8372,                 1.4057,                0.20295,                0.17246,                0.11058,                0.04696,                 2.5814,                 3.3111,                 2.8272,               0.001552,               0.001552,               0.001552
                      4,                 1.3963,                 1.6909,                 1.3984,                0.50355,                0.24791,                0.26863,                0.15331,                 2.3753,                 3.0981,                 2.7079,               0.001502,               0.001502,               0.001502
                      5,                 1.3508,                 1.5278,                 1.3562,                0.39021,                0.35595,                 0.3444,                0.19605,                 2.1614,                  3.017,                   2.68,               0.001502,               0.001502,               0.001502
                      6,                 1.2899,                 1.3915,                  1.326,                0.39316,                 0.2973,                0.24912,                0.14873,                 2.1987,                 3.1058,                 2.5373,               0.001447,               0.001447,               0.001447
                      7,                 1.2416,                 1.2667,                 1.2957,                0.67622,                0.30813,                0.38805,                0.23943,                 2.2927,                 3.1653,                 2.4754,              0.0013919,              0.0013919,              0.0013919
                      8,                  1.194,                 1.1829,                 1.2613,                0.52765,                0.34419,                0.35756,                 0.2286,                 2.1678,                 2.9919,                 2.5961,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.1569,                 1.1013,                 1.2442,                  0.674,                0.37127,                0.43343,                0.28266,                 2.0636,                 2.9877,                  2.391,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.1499,                  1.069,                 1.2388,                0.80327,                0.34514,                0.44367,                0.28189,                 2.0418,                 2.6384,                 2.3308,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.0995,                0.97899,                 1.2078,                0.64418,                 0.3851,                0.46986,                0.29685,                 2.0537,                 2.4347,                 2.3752,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.0698,                0.94305,                 1.1967,                 0.7189,                0.37186,                0.44142,                0.30423,                 2.0163,                 3.1406,                  2.419,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0521,                0.91237,                 1.1749,                0.74098,                0.37719,                0.45252,                0.30694,                  1.988,                 2.8583,                 2.2937,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.0346,                0.87311,                 1.1723,                0.65103,                0.40389,                0.43541,                0.29225,                 2.0957,                  2.879,                 2.4699,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.0138,                0.85385,                 1.1568,                 0.7323,                0.40451,                0.48443,                0.32093,                 2.1364,                 2.5768,                 2.4399,             0.00095186,             0.00095186,             0.00095186
