                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2173,                  4.951,                 1.8934,                0.00194,                0.94286,                0.13735,                0.07374,                 2.2404,                 4.5337,                 2.0883,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.8425,                 4.1428,                 1.5755,                0.00227,                0.97143,                0.04164,                0.01315,                 2.0063,                 4.6952,                 1.8429,             0.00030105,             0.00030105,             0.00030105
                      3,                 1.6493,                 3.5512,                 1.4121,                  0.002,                0.88571,                0.16182,                0.08978,                 1.8256,                 4.3797,                 1.7987,             0.00043557,             0.00043557,             0.00043557
                      4,                 1.6581,                 3.4514,                 1.4978,                0.00198,                0.91429,                0.03539,                0.01084,                 1.9524,                 4.4335,                 1.8445,             0.00055359,             0.00055359,             0.00055359
                      5,                  1.685,                 3.4128,                 1.5249,                0.00156,                0.72308,                 0.0306,                0.00475,                 2.6321,                 5.3319,                 3.1733,              0.0006551,              0.0006551,              0.0006551
                      6,                  1.606,                 3.1683,                 1.4738,                0.00188,                0.81868,                0.00722,                0.00282,                 2.2076,                 4.5272,                 2.2422,             0.00074011,             0.00074011,             0.00074011
                      7,                 1.6477,                 3.0236,                 1.4297,                0.53104,                0.04286,                0.01599,                0.00597,                 1.9646,                 4.6841,                 1.9674,             0.00080861,             0.00080861,             0.00080861
                      8,                 1.5849,                 2.9274,                  1.495,                0.00139,                0.69451,                0.00447,                0.00104,                 2.6276,                 4.7943,                 2.5295,             0.00086061,             0.00086061,             0.00086061
                      9,                 1.5632,                 2.7595,                 1.4275,                0.02425,                0.05714,                0.01661,                0.00587,                 2.3584,                 4.7396,                 2.3447,             0.00089611,             0.00089611,             0.00089611
                     10,                 1.5827,                 2.6889,                 1.4186,                0.58793,                    0.1,                0.04071,                0.01294,                 2.0902,                 4.7249,                 1.7818,             0.00091511,             0.00091511,             0.00091511
                     11,                 1.5714,                 3.5453,                  1.469,                0.19949,                0.12418,                0.04748,                0.01471,                 2.2359,                 4.8699,                 1.9703,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.6227,                 3.3695,                 1.5484,                0.00678,                0.04286,                0.00953,                 0.0029,                 2.3603,                 4.5557,                 2.1299,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.4908,                 3.0005,                  1.421,                0.02142,                0.04286,                0.01005,                0.00256,                 2.6209,                 4.4076,                 2.5509,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.5721,                 2.9672,                 1.4449,                 0.0186,                0.02857,                0.00734,                0.00272,                 2.0593,                 4.6201,                 2.1088,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.5943,                 2.8449,                  1.489,                   0.09,                 0.0956,                0.05419,                0.03057,                 2.2736,                 4.9508,                 2.2213,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.4136,                 2.7295,                 1.3594,                0.02659,                 0.0956,                0.01623,                0.00574,                  2.046,                 4.0833,                 1.9936,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.2945,                 4.9086,                 1.2387,                 0.0691,                0.02857,                0.02747,                0.00671,                 2.4577,                  3.872,                  2.194,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.3779,                  2.899,                 1.3249,                0.07804,                0.04286,                0.02314,                0.00649,                 2.0761,                 3.8463,                 1.9816,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.3073,                 2.3091,                 1.2331,                0.02962,                0.05714,                0.01096,                0.00322,                 2.2377,                 4.1966,                 2.1136,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.3271,                 2.2829,                 1.2328,                0.01991,                0.32088,                0.01662,                0.00522,                 2.1494,                 3.8349,                  1.939,              0.0001817,              0.0001817,              0.0001817
