                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2277,                 3.5013,                 1.4335,                0.00887,                0.95582,                 0.1574,                0.09901,                0.78591,                 3.6632,                 1.2053,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.0858,                 3.1422,                 1.3707,                0.01229,                 0.9724,                0.25717,                0.17201,                0.82005,                  3.513,                 1.2637,             0.00016439,             0.00016439,             0.00016439
                      3,                 1.0705,                 2.6864,                 1.3405,                0.82476,                0.05521,                0.32615,                0.22694,                0.84767,                  3.237,                 1.2505,             0.00024284,             0.00024284,             0.00024284
                      4,                 1.0277,                 2.4022,                 1.2839,                0.94573,                0.11564,                 0.3599,                0.22584,                0.99214,                 3.0576,                 1.3359,             0.00031535,             0.00031535,             0.00031535
                      5,                 1.0165,                 1.9846,                 1.2685,                0.54687,                0.25083,                0.34778,                0.20861,                 1.2604,                 2.8215,                 1.5378,             0.00038192,             0.00038192,             0.00038192
                      6,                 1.0884,                 2.1063,                 1.3375,                0.36111,                0.42847,                0.41786,                0.27953,                 1.0248,                 2.5564,                 1.4031,             0.00044255,             0.00044255,             0.00044255
                      7,                 1.0186,                 1.9298,                 1.2891,                0.39192,                0.43399,                0.39818,                0.25547,                 1.2062,                 2.5863,                 1.5598,             0.00049724,             0.00049724,             0.00049724
                      8,                 1.0568,                  1.868,                 1.2814,                0.58037,                 0.4909,                0.51804,                0.34626,                 1.0902,                 2.3632,                  1.501,             0.00054599,             0.00054599,             0.00054599
                      9,                 1.0218,                 1.8328,                 1.2803,                0.46253,                0.58225,                0.51976,                 0.3494,                 1.0988,                 2.2841,                 1.4666,              0.0005888,              0.0005888,              0.0005888
                     10,                 1.0161,                 1.7139,                 1.2669,                 0.5747,                0.60384,                0.61819,                0.40974,                  1.028,                 2.1266,                 1.4558,             0.00062567,             0.00062567,             0.00062567
                     11,                0.96619,                 1.6122,                 1.2527,                0.57161,                0.63154,                0.64352,                0.44898,                 1.0394,                 2.1146,                 1.4072,              0.0006566,              0.0006566,              0.0006566
                     12,                 1.0166,                 1.6299,                 1.2644,                0.57876,                0.63456,                0.63637,                0.42274,                  1.061,                 2.0981,                 1.4157,               0.000637,               0.000637,               0.000637
                     13,                 1.0062,                 1.5817,                 1.2597,                0.58995,                0.62794,                0.65888,                0.44145,                 1.0652,                  2.094,                 1.4132,               0.000637,               0.000637,               0.000637
                     14,                0.99779,                 1.5068,                 1.2428,                0.65068,                0.65228,                0.70865,                0.45663,                  1.125,                 2.0054,                 1.4451,               0.000604,               0.000604,               0.000604
                     15,                 1.0072,                  1.476,                 1.2471,                0.65199,                0.64296,                 0.6953,                0.46586,                  1.086,                 1.8948,                 1.4543,               0.000571,               0.000571,               0.000571
                     16,                0.95872,                 1.5047,                 1.2467,                0.59937,                0.60286,                0.62348,                0.39635,                 1.2186,                 2.4875,                 1.5706,               0.000538,               0.000538,               0.000538
                     17,                0.97825,                 1.4625,                 1.2331,                  0.764,                0.61457,                0.73294,                0.51346,                 1.0073,                 1.8207,                 1.4013,               0.000505,               0.000505,               0.000505
                     18,                0.88531,                 1.3618,                  1.178,                0.71103,                0.73817,                0.77249,                0.46236,                 1.1719,                 1.9901,                 1.5457,               0.000472,               0.000472,               0.000472
                     19,                0.93383,                 1.3243,                 1.2057,                0.77925,                0.77236,                0.81982,                0.55375,                 1.0346,                 1.6007,                  1.459,               0.000439,               0.000439,               0.000439
                     20,                0.89683,                 1.2208,                 1.1757,                0.78294,                0.70059,                0.79403,                0.53378,                 1.0197,                 1.6967,                 1.3576,               0.000406,               0.000406,               0.000406
                     21,                0.85017,                 1.5386,                   1.21,                0.78887,                0.76338,                0.81199,                0.58044,                 1.0363,                 1.7348,                 1.4511,               0.000373,               0.000373,               0.000373
                     22,                0.77731,                 1.3766,                 1.1687,                0.85289,                0.75242,                 0.8587,                0.65063,                0.88048,                 1.4571,                 1.3082,                0.00034,                0.00034,                0.00034
                     23,                0.76068,                 1.3786,                 1.1347,                0.86476,                0.80574,                0.89126,                0.67955,                0.83658,                 1.3611,                 1.2362,               0.000307,               0.000307,               0.000307
                     24,                0.74877,                 1.2609,                 1.1392,                0.85044,                0.82899,                0.89613,                0.68896,                0.82843,                 1.3292,                 1.2178,               0.000274,               0.000274,               0.000274
                     25,                0.71536,                 1.2383,                 1.1149,                0.89046,                0.83935,                0.91501,                 0.7157,                0.78302,                 1.2601,                  1.163,               0.000241,               0.000241,               0.000241
                     26,                0.66399,                 1.1131,                 1.0794,                 0.9165,                0.82924,                 0.9216,                0.73082,                0.74694,                 1.1977,                 1.1356,               0.000208,               0.000208,               0.000208
                     27,                0.66416,                 1.1101,                 1.0689,                0.90304,                 0.8579,                0.92693,                0.73699,                0.73786,                 1.1978,                   1.13,               0.000175,               0.000175,               0.000175
                     28,                0.65275,                  1.078,                 1.0443,                0.91482,                0.86237,                0.93436,                0.74087,                0.72821,                 1.1465,                 1.1264,               0.000142,               0.000142,               0.000142
                     29,                0.63894,                 1.0569,                 1.0445,                 0.9202,                0.86759,                0.93773,                0.74862,                0.72315,                 1.1116,                 1.1219,               0.000109,               0.000109,               0.000109
                     30,                0.63253,                 1.0486,                  1.066,                0.92662,                0.87369,                0.93503,                0.74656,                0.73053,                 1.0838,                 1.1242,                7.6e-05,                7.6e-05,                7.6e-05
