                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1204,                 4.1867,                 2.1034,                0.00091,                0.83507,                0.02598,                0.00588,                 2.2745,                 7.9931,                 2.4071,             0.00030006,             0.00030006,             0.00030006
                      2,                 2.0657,                 3.7608,                 1.9612,                0.00804,                0.25174,                  0.007,                0.00236,                 2.3172,                 10.703,                 2.4687,             0.00060152,             0.00060152,             0.00060152
                      3,                 2.0306,                 3.5792,                 2.0172,                0.68895,                0.01562,                0.01246,                0.00358,                 2.8531,                 11.391,                 2.8936,             0.00088731,             0.00088731,             0.00088731
                      4,                 2.0804,                  3.388,                 2.0082,                0.02118,                0.21528,                0.01243,                0.00377,                 2.9951,                 86.191,                 3.0941,              0.0011574,              0.0011574,              0.0011574
                      5,                 2.1137,                  3.363,                 1.9836,                0.00255,                0.21007,                0.00222,                0.00046,                 3.7364,                 28.557,                 4.9995,              0.0014118,              0.0014118,              0.0014118
                      6,                 2.1317,                 3.2584,                 2.0886,                0.03367,                0.32118,                0.01078,                0.00426,                 2.5092,                 30.792,                 4.1206,              0.0014607,              0.0014607,              0.0014607
                      7,                 2.0922,                 3.1998,                 2.0822,                0.02513,                0.09028,                0.01159,                0.00466,                 3.0506,                 24.126,                  3.343,              0.0014607,              0.0014607,              0.0014607
                      8,                 2.1503,                 3.1112,                  2.076,                0.00717,                0.08681,                0.00282,                0.00078,                 3.4139,                 22.164,                 3.6434,              0.0014195,              0.0014195,              0.0014195
                      9,                  2.045,                 3.0279,                 1.9966,                0.12995,                0.11806,                0.05643,                0.01717,                 2.4133,                 23.567,                 2.7158,              0.0013782,              0.0013782,              0.0013782
                     10,                 2.0998,                 3.1242,                 1.9989,                0.03214,                0.09028,                0.01285,                0.00369,                  2.364,                 10.847,                 2.6677,              0.0013369,              0.0013369,              0.0013369
                     11,                 2.0559,                 2.9652,                 2.0121,                0.04576,                0.19618,                0.04406,                0.01472,                 2.3598,                 12.833,                  2.579,              0.0012957,              0.0012957,              0.0012957
                     12,                 2.0322,                 2.8432,                 1.9947,                0.13984,                0.04688,                0.03601,                0.01265,                 2.6153,                 14.676,                 2.6628,              0.0012544,              0.0012544,              0.0012544
                     13,                 2.0093,                 2.8086,                 1.9534,                0.11959,                0.14062,                0.09736,                 0.0315,                 2.5779,                 6.4188,                 2.6112,              0.0012132,              0.0012132,              0.0012132
                     14,                 2.0123,                 2.8536,                  1.982,                0.06635,                0.13021,                0.05586,                0.02204,                 2.2317,                 4.2579,                 2.2995,              0.0011719,              0.0011719,              0.0011719
                     15,                   1.97,                 2.7332,                 1.9474,                0.07968,                0.12648,                0.02756,                0.00706,                 2.2382,                 5.1462,                 2.2935,              0.0011306,              0.0011306,              0.0011306
                     16,                 1.9957,                 2.6822,                 1.9181,                0.09667,                0.04688,                0.02172,                0.00625,                 2.7205,                 12.757,                 2.8282,              0.0010894,              0.0010894,              0.0010894
                     17,                 1.9774,                 2.6908,                 1.9059,                 0.0517,                0.16493,                0.03391,                0.00981,                 2.3136,                 4.9232,                 2.2355,              0.0010481,              0.0010481,              0.0010481
                     18,                  1.935,                 2.6261,                 1.8868,                0.18277,                0.14931,                0.09609,                0.03755,                 2.2763,                 4.3825,                 2.3763,              0.0010069,              0.0010069,              0.0010069
                     19,                 1.9318,                 2.5664,                 1.8771,                0.05292,                0.14062,                0.06042,                0.02105,                 2.0908,                 4.2463,                 2.2032,             0.00096561,             0.00096561,             0.00096561
                     20,                 1.8698,                 2.4482,                 1.8673,                 0.0892,                0.19271,                0.04636,                0.01396,                 2.1158,                 4.1499,                 2.2186,             0.00092435,             0.00092435,             0.00092435
                     21,                 1.7835,                 2.5157,                 1.8335,                0.34698,                0.19618,                0.15667,                 0.0501,                 2.0992,                 3.7646,                  2.137,             0.00088309,             0.00088309,             0.00088309
                     22,                 1.7974,                 2.4216,                 1.8076,                0.10799,                 0.1684,                0.06215,                0.01998,                 2.1814,                 4.0236,                 2.3178,             0.00084184,             0.00084184,             0.00084184
                     23,                 1.8136,                 2.3128,                 1.7978,                0.13152,                0.21181,                0.08992,                0.02882,                 2.1671,                 3.8561,                 2.2618,             0.00080058,             0.00080058,             0.00080058
                     24,                 1.7405,                 2.2396,                 1.7416,                  0.069,                0.15625,                0.07553,                0.02527,                 2.0814,                 3.7035,                 2.3093,             0.00075932,             0.00075932,             0.00075932
                     25,                 1.7453,                 2.2467,                 1.8017,                0.17969,                0.17708,                0.07161,                0.02311,                 2.0782,                 3.7226,                 2.2632,             0.00071806,             0.00071806,             0.00071806
                     26,                 1.7357,                 2.1972,                 1.7419,                0.13524,                0.16146,                0.10122,                0.04391,                 2.1711,                 3.8832,                 2.3024,              0.0006768,              0.0006768,              0.0006768
                     27,                 1.7099,                 2.1162,                 1.7068,                0.14032,                0.17708,                0.09655,                0.04158,                 2.0657,                 3.8173,                 2.1851,             0.00063554,             0.00063554,             0.00063554
                     28,                 1.6981,                 2.0622,                 1.7003,                0.20583,                0.21528,                0.13811,                0.05495,                 2.2832,                 3.5256,                 2.2875,             0.00059429,             0.00059429,             0.00059429
                     29,                 1.6568,                 2.0484,                  1.689,                0.26466,                0.19271,                0.13298,                0.05394,                 2.2018,                 3.4436,                 2.2168,             0.00055303,             0.00055303,             0.00055303
                     30,                  1.646,                 2.0092,                 1.6861,                0.14068,                0.19265,                0.10795,                0.04309,                 2.1171,                 3.4236,                 2.2168,             0.00051177,             0.00051177,             0.00051177
                     31,                  1.732,                  2.251,                 1.7869,                0.15854,                0.23611,                0.11366,                 0.0404,                 2.2204,                 3.5698,                 2.3191,             0.00047051,             0.00047051,             0.00047051
                     32,                 1.6859,                 2.0847,                 1.7249,                 0.1612,                0.25174,                0.10798,                0.04886,                 2.0296,                 4.0646,                 2.2262,             0.00042925,             0.00042925,             0.00042925
                     33,                 1.6546,                 1.9849,                 1.7057,                0.18696,                0.16146,                0.10056,                0.04253,                  2.209,                 3.7364,                  2.335,             0.00038799,             0.00038799,             0.00038799
                     34,                 1.6252,                 1.9725,                 1.7103,                0.15114,                0.19618,                0.13342,                0.04622,                 2.2982,                 3.5645,                  2.354,             0.00034674,             0.00034674,             0.00034674
                     35,                 1.5809,                 1.8527,                 1.6652,                0.16303,                0.16493,                0.10068,                 0.0357,                 2.1709,                  3.583,                 2.2862,             0.00030548,             0.00030548,             0.00030548
                     36,                 1.5446,                 1.8149,                 1.6374,                0.27605,                0.16493,                0.11577,                0.04318,                 2.2558,                 3.5182,                 2.3356,             0.00026422,             0.00026422,             0.00026422
                     37,                 1.5424,                  1.739,                 1.6495,                0.25391,                0.22743,                0.13367,                 0.0477,                  2.267,                 3.3964,                 2.3222,             0.00022296,             0.00022296,             0.00022296
                     38,                 1.5117,                 1.7576,                 1.6295,                0.19527,                0.14931,                0.10434,                0.04186,                  2.155,                 3.4858,                 2.2274,              0.0001817,              0.0001817,              0.0001817
                     39,                 1.4713,                 1.6315,                 1.5656,                0.13474,                0.23958,                0.12384,                0.05302,                 2.1366,                 3.5238,                 2.2353,             0.00014044,             0.00014044,             0.00014044
                     40,                 1.4017,                 1.5161,                 1.5177,                0.18086,                0.19618,                0.12559,                0.04956,                 2.2727,                 3.5191,                  2.335,             9.9187e-05,             9.9187e-05,             9.9187e-05
