                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1204,                 4.1867,                 2.1034,                0.00091,                0.83507,                0.02598,                0.00588,                 2.2745,                 7.9931,                 2.4071,             0.00030006,             0.00030006,             0.00030006
                      2,                  2.061,                 3.7671,                 1.9782,                0.00085,                0.76389,                0.00777,                0.00226,                  2.454,                 9.3463,                 2.6957,             0.00058626,             0.00058626,             0.00058626
                      3,                 2.0844,                 3.6731,                 2.0029,                0.06582,                0.14062,                0.04029,                0.01186,                 2.6376,                 9.0867,                 2.7361,              0.0008411,              0.0008411,              0.0008411
                      4,                 2.0946,                  3.465,                 2.0018,                0.01382,                0.01562,                0.00471,                0.00124,                 3.0126,                 19.605,                 3.3025,              0.0010646,              0.0010646,              0.0010646
                      5,                 2.0614,                 3.3923,                 2.0147,                0.00826,                0.12674,                0.00469,                0.00116,                 2.7787,                 155.62,                 4.0352,              0.0012567,              0.0012567,              0.0012567
                      6,                 2.0625,                 3.2613,                 2.0497,                 0.5015,                  0.125,                0.00497,                0.00125,                 2.6837,                 287.65,                 3.6826,              0.0012544,              0.0012544,              0.0012544
                      7,                 2.0506,                 3.1777,                 2.0513,                0.56032,                0.04688,                0.02227,                0.00335,                 3.2019,                 15.034,                 4.9303,              0.0012544,              0.0012544,              0.0012544
                      8,                 2.0728,                 3.0568,                 2.0389,                0.01674,                0.12153,                0.01689,                0.00758,                  2.492,                 14.017,                 2.7811,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.9866,                 2.8908,                 1.9621,                 0.1486,                0.05903,                0.03501,                0.01608,                 2.5843,                 9.5238,                 2.8469,              0.0010894,              0.0010894,              0.0010894
                     10,                 2.0652,                 3.0209,                 1.9635,                0.14261,                0.04688,                0.02663,                0.00832,                 2.4484,                 9.7064,                 2.6108,              0.0010069,              0.0010069,              0.0010069
                     11,                 2.1705,                 3.6206,                 2.1336,                 0.0591,                0.11045,                 0.0382,                0.00967,                 2.2766,                 6.1162,                  2.369,             0.00092435,             0.00092435,             0.00092435
                     12,                 2.1008,                 3.2132,                 2.0959,                0.04781,                0.21181,                0.02451,                0.00708,                 2.2293,                 6.2861,                 2.3012,             0.00084184,             0.00084184,             0.00084184
                     13,                 2.0839,                 3.1974,                 2.0899,                0.07612,                0.13368,                0.06003,                0.01943,                  2.346,                 8.5716,                 2.3831,             0.00075932,             0.00075932,             0.00075932
                     14,                 2.0054,                 3.0452,                 1.9902,                0.12538,                0.17708,                  0.091,                0.03119,                 2.0748,                 4.6997,                 2.1177,              0.0006768,              0.0006768,              0.0006768
                     15,                 2.0356,                 2.9059,                 2.0553,                0.33108,                0.09028,                0.06823,                0.02368,                 2.1005,                 4.9138,                 2.1762,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.9212,                 2.7277,                  1.975,                0.09314,                0.18576,                 0.0621,                0.02469,                 2.0426,                 4.0009,                 2.0838,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.8808,                 2.6189,                 1.9211,                0.09908,                 0.2309,                0.11418,                0.02994,                 2.0566,                 3.7614,                 2.1745,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.8438,                  2.599,                 1.9211,                0.14801,                0.10938,                0.09073,                0.02468,                 2.0616,                 3.7348,                 2.1138,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.8358,                  2.497,                 1.8625,                0.16164,                0.18056,                0.10895,                0.03697,                 1.9402,                  3.585,                  2.076,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.8136,                 2.4225,                 1.8621,                0.12235,                0.15625,                0.11893,                 0.0479,                 1.9655,                 3.4539,                 2.0149,              0.0001817,              0.0001817,              0.0001817
