                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3914,                 3.1789,                 1.5445,                0.00623,                0.81667,                0.23002,                 0.0698,                 1.1091,                 4.0361,                 1.6563,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.2427,                 3.0863,                 1.4282,                 0.0065,                0.81667,                0.19463,                0.07665,                 1.0002,                  3.872,                 1.6101,             4.0748e-05,             4.0748e-05,             4.0748e-05
                      3,                  1.108,                 2.9884,                 1.3968,                0.00676,                0.71667,                0.22055,                0.07735,                0.92664,                 3.8224,                 1.5633,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      4,                0.99068,                 2.8423,                 1.3305,                0.01005,                0.71667,                0.21965,                0.12107,                0.88377,                 3.7868,                 1.5344,             8.5176e-05,             8.5176e-05,             8.5176e-05
                      5,                0.94518,                 2.6898,                  1.313,                0.01721,                0.71667,                 0.2144,                0.15062,                0.90049,                 3.8422,                 1.5451,             0.00010315,             0.00010315,             0.00010315
                      6,                 1.0965,                  2.347,                 1.3435,                0.01976,                0.61667,                0.25677,                0.21971,                0.86928,                 3.8467,                 1.5495,             0.00011829,             0.00011829,             0.00011829
                      7,                0.88892,                 1.9892,                 1.2458,                 0.0185,                0.61667,                0.23833,                0.19687,                0.84854,                 3.8252,                 1.5542,              0.0001306,              0.0001306,              0.0001306
                      8,                 1.0039,                  1.876,                 1.2726,                0.01843,                0.61667,                0.23563,                0.18329,                0.74106,                 3.8218,                 1.5213,             0.00014008,             0.00014008,             0.00014008
                      9,                0.90787,                 1.8865,                 1.2435,                0.02017,                0.61667,                0.25493,                0.19989,                0.69677,                 3.7774,                 1.5268,             0.00014673,             0.00014673,             0.00014673
                     10,                0.95051,                 1.7838,                 1.3238,                  0.022,                0.71667,                0.26284,                0.21958,                0.77867,                 3.6743,                 1.6071,             0.00015055,             0.00015055,             0.00015055
                     11,                0.85054,                 2.1896,                  1.232,                0.01825,                0.51667,                0.29802,                0.24918,                0.81142,                 3.6694,                 1.6248,             0.00015155,             0.00015155,             0.00015155
                     12,                0.82051,                 2.1177,                 1.1794,                0.02128,                0.61667,                0.29964,                0.25181,                0.83994,                 3.6647,                 1.6764,             0.00014971,             0.00014971,             0.00014971
                     13,                0.76497,                 2.0174,                 1.1243,                0.02679,                0.61667,                0.32364,                0.27449,                0.95294,                 3.6038,                 1.8185,             0.00014504,             0.00014504,             0.00014504
                     14,                0.68361,                 1.8571,                 1.1174,                0.01861,                0.61667,                0.33216,                0.27966,                0.98942,                 3.4774,                 1.8907,             0.00013755,             0.00013755,             0.00013755
                     15,                 0.7252,                 1.7167,                 1.1925,                0.01414,                0.61667,                0.33248,                0.25563,                 1.0304,                  3.459,                 1.9514,             0.00012722,             0.00012722,             0.00012722
                     16,                0.62846,                  1.682,                  1.145,                 0.0149,                0.61667,                0.33137,                0.25511,                 1.0603,                 3.5678,                 1.9785,             0.00011407,             0.00011407,             0.00011407
                     17,                0.65551,                 1.5889,                 1.0742,                0.01373,                0.61667,                0.32623,                0.24903,                 1.0988,                 3.5487,                 2.0301,             9.8087e-05,             9.8087e-05,             9.8087e-05
                     18,                0.61589,                 1.6312,                 1.0554,                0.01248,                0.61667,                0.36839,                0.30166,                 1.0684,                 3.4977,                 1.9917,             7.9274e-05,             7.9274e-05,             7.9274e-05
                     19,                0.66575,                 1.7278,                 1.1016,                0.73991,                0.41667,                0.37628,                0.31022,                 1.0311,                 3.4325,                 1.9253,             5.7632e-05,             5.7632e-05,             5.7632e-05
                     20,                 0.6135,                 1.5123,                 1.1103,                0.82243,                0.41667,                0.37357,                0.31208,                 1.0433,                 3.3929,                 1.8969,              3.316e-05,              3.316e-05,              3.316e-05
